DATA,CFCT,NC-R,NC-I,NC-C,PT-TOT,PNT-TOT,TEMP-MAX,I-PLUV,IPAGRO,Q-BF,MR-PS,IMR-TOT,IV-CVA
2005-01-01,222508.432,1011366,8987,88397,45014.13137,55247.27,27.60,108.5,176.80343,381473,338042743.07119,92.5707,31.5
2005-02-01,211514.3023,1016102,8981,89161,40221.5266,36669.21648,27.50,260.0,174.31524,380738,335806043.06321,92.39278,29.2
2005-03-01,217246.923,1017092,8935,88703,44007.99059,54301.04505,26.50,360.0,577.35207,381362,335656694.88523,92.22233,33.1
2005-04-01,218901.9734,1018319,8908,88748,43810.08267,51425.20912,26.70,230.3,1065.23086,387468,331591392.33787,90.35923,33
2005-05-01,223901.631,1020388,8898,89059,45570.64772,57289.48956,26.90,138.2,957.16082,407255,374751730.50917,92.26102,34.9
2005-06-01,235591.9942,1036590,9040,91290,45455.87505,44888.64089,26.70,125.2,565.48091,407638,375016930.45693,92.55496,35.2
2005-07-01,226183.3358,1046469,9185,91754,46294.26832,59470.54851,26.30,76.5,615.6378,429804,375173330.00632,95.34874,39.5
2005-08-01,244103.049,1049558,9053,90671,48538.21637,55391.29387,26.90,5.8,313.57274,441728,374970767.95625,95.86697,40.4
2005-09-01,239967.961,1050931,9047,91037,48117.43647,56931.0169,27.10,4.7,234.86283,452580,375136450.38072,96.28218,37.1
2005-10-01,241234.604,1059354,9098,91645,49937.88825,66897.13469,27.60,12.1,176.482,476669,373868300.67546,95.67641,37.8
2005-11-01,244778.019,1070214,9207,92763,48201.46201,52641.74299,28.10,45.7,198.64092,500857,743465193.0863,110.68974,41.1
2005-12-01,266826.546,1080495,9262,94176,48131.70082,30167.21764,27.40,148.4,256.72403,532126,370559582.03176,94.60442,54.9
2006-01-01,228051.2,1087867,9332,94418,46385.13877,58158.88524,26.80,164.7,197.71719,533818,368004006.29723,124.00158,37.2
2006-02-01,220281.239,1093106,9342,95113,42030.36723,39046.43586,26.60,251.6,193.46341,537023,366733513.72811,123.8657,36.3
2006-03-01,222065.354,1101070,9380,95296,46380.6143,64102.43064,26.20,320.1,702.8531,547977,366767770.7251,123.69955,43.3
2006-04-01,234709.879,1111045,9421,96295,43783.5974,35241.86966,25.90,380.9,1272.38545,565983,420193521.08295,123.68839,39.5
2006-05-01,227953.012,1115997,9400,96678,47055.77017,62003.45889,26.20,317.2,847.04983,600588,419818009.96719,123.91359,47.4
2006-06-01,236005.698,1121024,9435,97713,46386.33877,49730.57948,26.30,123.3,626.52866,713854,422797092.62503,125.07778,43.1
2006-07-01,229912.153,1124915,9475,97576,49167.84127,72988.85639,26.50,29.3,761.11657,715691,422637388.91678,128.68514,48.7
2006-08-01,251670.675,1128423,9406,97465,51459.29969,65808.04622,26.80,42.6,357.42988,715257,632528328.44651,137.80992,51
2006-09-01,258895.976,1135764,9459,97899,50806.22947,54544.37408,27.50,9.2,265.80665,709092,421393558.68216,129.70864,47
2006-10-01,265612.769,1135364,9478,98467,53232.56833,62805.03999,27.80,32.1,194.6125,708060,422117877.89784,128.84984,49.7
2006-11-01,260238.198,1142175,9508,99058,51037.40169,54635.79055,28.00,66.0,224.75464,713734,640912883.25702,137.65616,53.1
2006-12-01,280861.74,1150936,9566,99249,52419.17292,42543.98953,27.90,86.9,298.39595,706878,419506261.67974,127.06945,66.6
2007-01-01,252728.684,1156482,9507,98935,52680.05971,72282.80495,28.50,82.9,248.08,708948,417889363.85321,121.14576,49
2007-02-01,236148.091,1162853,9494,99750,43887.31672,34649.75184,26.32,486.2,244.25122,720174,416971626.15938,121.07834,44.5
2007-03-01,236381.259,1184658,9472,99545,50009.83967,72185.42619,26.26,310.1,594.66001,722964,416613325.59546,120.87208,53
2007-04-01,257434.993,1201072,9490,99948,48742.28709,43283.27372,26.47,283.5,1022.14624,728461,449189588.1405,119.98353,50.2
2007-05-01,272953.167,1213816,9419,100737,52733.44775,52389.19704,27.13,167.0,907.35794,731853,451294982.07565,120.14283,56.8
2007-06-01,260929.686,1220133,9475,101599,50833.44728,52698.06446,27.19,39.0,591.63457,721438,451872226.06747,120.47906,53.1
2007-07-01,265877.12,1227771,9381,101161,53078.37819,61591.53374,26.14,64.1,894.51796,723845,452105810.95609,124.00172,56.3
2007-08-01,292052.722,1231678,9299,101710,55315.7129,49216.28266,26.73,0.4,432.4223,725062,677137373.13609,134.41736,58.1
2007-09-01,271141.265,1234803,9315,101847,55002.85927,68195.86989,27.74,6.5,327.86866,726064,450830367.30828,125.71933,55.3
2007-10-01,292142.525,1243021,9328,102641,57252.065,61070.30216,26.81,28.9,246.143,736340,450703310.52064,124.91721,59.2
2007-11-01,296811.598,1252721,9370,103240,55767.19173,47241.79651,27.87,17.4,279.11009,735781,682811611.60513,134.23279,62.5
2007-12-01,286669.612,1258850,9366,103866,55084.34469,53170.73576,28.53,74.6,361.327,737539,444974187.40309,123.08115,74
2008-01-01,274176.235,1271032,9329,104767,52253.51383,47806.66888,27.65,184.2,268.0722,740890,441720296.59113,135.02976,56.2
2008-02-01,245913.653,1285428,9293,104786,48772.47913,54624.70818,27.25,296.6,262.0816,743354,442404083.85568,134.94907,51.8
2008-03-01,255016.812,1291295,9268,104929,49927.73209,52634.98396,25.80,514.9,611.39774,735299,481815580.97945,136.35843,55.4
2008-04-01,249532.284,1293444,9177,105068,50202.63603,59825.87729,26.16,438.9,1041.18877,739531,480786621.19631,133.84563,58.8
2008-05-01,255947.365,1305281,8998,105209,53390.30033,73058.17674,26.10,224.0,920.39796,743430,478647934.05637,133.84021,61.3
2008-06-01,268360.763,1309401,9116,106034,52590.0043,55710.09513,26.54,171.5,590.62326,742044,477256167.37383,134.16825,59.2
2008-07-01,283041.043,1315835,9191,106747,56082.89136,62558.82025,26.84,47.2,935.21683,739517,478436363.33448,138.47244,65.7
2008-08-01,301569.636,1325066,9176,107612,58651.13121,59880.95571,27.57,25.1,458.97981,737395,721951730.3858,148.96468,64
2008-09-01,305659.691,1332391,9297,108408,58707.16369,56136.74962,28.58,2.4,348.94078,738200,480951494.20565,139.74203,65.5
2008-10-01,309899.377,1340673,9324,108724,61105.34485,66678.41804,29.10,14.2,263.41081,730843,482294909.46631,138.62557,62.2
2008-11-01,312531.533,1348085,9368,108685,58185.67483,46058.3707,28.68,31.5,302.94147,733692,729688860.79528,148.71425,58.1
2008-12-01,290214.45,1351284,9396,108518,58092.95835,67804.28557,27.71,101.7,396.36351,729610,481973601.4808,136.96718,75.3
2009-01-01,290851.491,1377216,9458,109503,54976.80052,47955.2281,26.68,280.8,185.0625,746359,483129806.95112,148.02064,63.8
2009-02-01,265138.184,1378569,9399,110132,46994.80908,24474.45721,25.91,322.5,181.25035,745258,540135284.16349,150.21763,55.8
2009-03-01,262062.493,1383826,9482,110055,53716.08895,68972.43058,26.32,372.3,652.28045,753833,545016866.23281,150.21864,61.4
2009-04-01,261614.151,1400494,9589,112459,50667.57214,50630.2316,26.01,626.3,1175.79238,757967,541529541.62778,147.37831,56.3
2009-05-01,254683.522,1394579,9417,110880,52268.632,67428.76054,26.06,420.3,739.80914,795457,540075285.66175,147.57066,64.2
2009-06-01,276142.591,1428184,9551,113261,53331.02452,52518.14391,26.55,105.8,527.69567,792916,541892357.10878,148.12907,65.9
2009-07-01,294886.01,1429348,9536,114090,56530.85898,53494.52526,26.73,37.0,806.33316,791449,542243655.14649,152.36183,68.3
2009-08-01,332961.513,1455266,9620,114749,58596.87015,28151.02021,27.35,17.8,317.26099,816310,818148677.97885,164.39746,67.6
2009-09-01,346507.675,1466334,9637,115537,58922.72035,16612.28789,28.34,1.7,240.41075,814298,543776259.27822,154.42646,67.7
2009-10-01,344677.79,1473150,9671,116580,60643.82308,29051.7564,28.26,26.2,181.56221,850838,544207080.56361,153.6701,66.8
2009-11-01,337464.458,1478169,9705,116564,59757.43845,30801.17242,28.53,12.2,212.43609,850202,826792209.47263,164.99823,63.5
2009-12-01,304721.565,1482200,9566,115530,60311.7435,66960.52218,27.68,88.2,279.46801,846345,542883406.83383,151.62384,81.7
2010-01-01,319858.885,1500645,9663,117923,57712.09048,35805.55086,27.01,147.2,196.6565,858413,592549833.58092,150.7854,66.2
2010-02-01,309494.535,1509113,9739,118529,53841.73612,22318.46292,27.62,147.6,193.79006,867530,588736519.18617,150.56876,61.7
2010-03-01,330567.4,1518854,9734,118765,61608.08664,49110.06018,27.75,202.9,717.48796,869744,589013247.00831,150.3338,76.2
2010-04-01,341861.964,1524486,9749,119250,57525.72022,12650.2635,27.19,312.1,1282.92202,872690,591176872.74557,147.89327,70
2010-05-01,339890.708,1534701,9799,120119,62284.53657,43953.54324,27.66,222.1,737.50041,872114,592237037.96415,147.98444,70.9
2010-06-01,340147.548,1542031,9746,120803,55140.69827,32019.06644,27.04,119.3,585.735,873932,594441459.86271,148.56249,70.2
2010-07-01,340724.656,1555045,9790,121642,58089.67642,49094.4229,27.15,57.5,939.92385,868925,629216833.01159,153.9573,78.7
2010-08-01,367861.217,1561746,9853,122077,60386.32047,35645.21623,27.65,3.8,335.36911,873975,911484138.04345,166.12545,79.5
2010-09-01,365170.369,1571006,9844,122512,59342.6309,42069.34464,28.78,3.7,257.40631,874633,601266963.8026,154.1338,77.6
2010-10-01,371875.97,1585494,9899,123548,59014.75825,49688.76823,28.70,51.2,196.21098,868502,600397820.54531,153.15666,76.5
2010-11-01,374904.539,1595133,9919,124023,57252.2127,36102.52686,28.50,34.8,222.63716,866888,909274092.3472,165.4866,79.3
2010-12-01,348451.636,1598117,9878,123938,57778.5961,65669.65751,27.56,112.6,282.35489,871297,593485156.11628,150.89552,98.5
2011-01-01,349019.354,1616206,9849,124511,52209.27767,33284.2582,26.27,350.8,233.23045,876408,627114751.67723,155.05392,73.4
