DATA,CFCT,NC-R,NC-I,NC-C,PT-TOT,PNT-TOT,TEMP-MAX,I-PLUV,IPAGRO,Q-BF,MR-PS,IMR-TOT,I-AEC,PFI-IG,IV-CVA
2005-01-01,382455,1124905,3882,112128,49548.4433475,65970.5016525,32.658064516129,249.9,151.199082736489,640959,382105370.742121,115.621596102764,112.14,71.8,38.9
2005-02-01,352014,1128942,3875,112249,44251.0623525,48469.4826474999,32.2678571428571,363.9,101.499666305623,640295,381993137.211606,110.201315096971,105.23,63.7,39.9
2005-03-01,379137,1128530,3861,111493,49742.910028,71048.487972,32.0483870967741,413.5,113.616936265571,687238,382540563.589093,117.786848645785,111.11,72.1,45.5
2005-04-01,378524,1133597,3837,111722,48663.3130385,61891.5009614999,31.97,565.4,138.866843235464,645100,380921704.254511,112.205241312246,112.17,72.0,44.9
2005-05-01,385905,1136498,3835,111295,50396.3714025,70195.3085974999,32.2225806451612,428.5,196.647542791153,652228,426509115.570955,118.831034568078,117.87,74.4,47.7
2005-06-01,394025,1140753,3811,112256,51049.012603475,67981.5964465249,32.66,225.8,233.159579226763,610398,428114772.78673,114.293159764924,122.31,75.8,46.7
2005-07-01,396441,1144632,3811,113279,51433.91596075,69049.0725392501,33.2258064516129,177.8,183.109749463936,617414,429641568.04877,116.030016670983,118.41,72.8,47.3
2005-08-01,395729,1149980,3863,112848,54509.543894,82153.981106,33.9032258064516,102.9,128.603003405317,617721,429069459.081556,116.364985803951,120.66,76.7,51.0
2005-09-01,397783,1156445,3873,113140,53560.8671139999,71734.1628859999,33.7466666666666,138.6,133.421664941583,621710,428712716.821074,113.838049775966,118.04,78.0,48.8
2005-10-01,401897,1156999,3866,113038,55644.92950865,85584.6881913499,33.5859447003225,242.1,97.5754580625165,628553,429683160.404281,103.096642370355,115.39,81.2,50.2
2005-11-01,398434,1156319,3888,113647,54578.927219075,79873.309630925,33.504848485,105.0,104.608754170849,628445,428668848.443244,101.600630747248,115.57,77.3,49.6
2005-12-01,398826,1160065,3882,113565,54097.71368255,74591.60221745,32.3354838709677,459.3,147.267811148806,630306,428736353.940598,142.042109294557,125.78,82.5,72.6
2006-01-01,379917,1167043,3884,113608,53429.3284523,87296.8259477,32.2870967741935,387.8,168.641146940227,627751,426824843.30083,125.803481035756,119.91,79.4,44.9
2006-02-01,364016,1173237,3833,114251,48280.252610275,58472.4048397249,31.8071428571428,275.1,110.791907867533,620066,425898203.970229,119.905878496913,112.16,70.7,42.2
2006-03-01,376163,1176421,3862,114254,53747.721999725,94985.5375502749,31.6709677419354,696.0,124.535289763144,622860,425834345.132373,128.159410346674,119.55,84.8,47.8
2006-04-01,374014,1180704,3807,114663,50627.0152879999,67997.854712,31.6839583333333,483.8,142.166964270697,593215,478051281.255965,122.086274738773,117.92,80.5,47.3
2006-05-01,374018,1185491,3831,115441,53928.3018781499,97875.1618218499,31.4231012116129,334.236666666999,196.590898079543,575497,477630788.932916,129.295549513583,126.68,88.9,55.5
2006-06-01,391409,1188634,3826,115849,54113.8000963,82536.6923037,32.0166666666666,121.0,239.485949519033,535758,481020249.744273,124.358059754025,129.68,87.8,52.5
2006-07-01,391885,1192222,3850,116365,55533.306164975,95524.8408850249,32.4,106.7,198.675946437602,530835,482423236.273585,126.247867992349,128.93,89.7,54.8
2006-08-01,402813,1196025,3878,116587,58826.6253772,112631.2032228,32.7258064516129,236.0,142.385849316203,523281,483864535.574604,126.612335223276,132.22,91.0,61.4
2006-09-01,420856,1201052,3915,116688,58081.7424475,88061.9865525,33.1133333333333,156.8,150.450761453237,517177,483928630.242189,123.862871806488,129.98,90.5,63.6
2006-10-01,427611,1207042,3943,117321,61141.9693698493,108748.528100997,33.2096774193548,113.6,108.544709911885,520020,484745028.946022,112.175553101356,127.86,91.4,66.0
2006-11-01,424908,1211036,3963,118242,58282.038634,85867.6007659999,32.63,213.9,116.606518842255,528430,485050839.369974,110.547799496488,128.08,93.0,66.7
