DATA,INJETADA,PT-TOT,PNT-TOT,IPAGRO,MR-BF,Q-BF,MR-PS,IMR-TOT,IBCR,PIM,PMC
2012-01-01,288379.86,99239,168118,190.2,153669173.3,774176.0,794357155.4,152.5,150.3,83.6,84.9
2012-02-01,263942.55,91229,153383,123.7,154924406.7,783445.0,792801948.7,144.0,140.6,84.0,78.8
2012-03-01,284254.13,99467,176475,136.1,155510400.0,786332.0,791292491.2,161.0,148.5,91.3,91.2
2012-04-01,280665.06,98742,177627,140.5,154322119.7,786332.0,787823231.0,149.1,148.1,94.5,83.1
2012-05-01,303201.08,105993,199574,185.9,158901800.3,791848.0,788444907.1,165.4,163.4,106.9,95.9
2012-06-01,290567.44,101893,176941,236.5,176150133.2,789225.0,787156716.3,161.5,173.4,103.8,96.6
2012-07-01,285874.83,104528,204000,210.8,177839313.8,792445.0,787648184.0,155.9,167.7,105.4,97.1
2012-08-01,314882.85,110532,218611,152.3,180591425.3,809589.0,787226864.2,159.7,169.6,105.4,103.7
2012-09-01,297398.36,108174,202939,156.7,179793157.1,806466.0,784596886.8,151.2,160.3,99.2,90.6
2012-10-01,316775.61,113694,241156,121.4,179027231.7,808111.0,781267290.7,151.7,160.7,109.8,102.5
2012-11-01,313093.71,112002,218800,131.6,177475830.3,811073.0,776379375.3,148.3,155.8,102.1,95.5
2012-12-01,313525.86,109917,225367,185.4,186734766.9,813367.0,771041141.2,185.8,172.0,113.9,127.4
2013-01-01,306188.66,109022,220682,215.1,181007933.4,810305.0,828719526.7,162.1,161.5,94.1,92.7
2013-02-01,270013.73,97782,153382,134.8,180771694.2,796352.0,825932319.6,145.7,143.5,78.8,81.9
2013-03-01,307058.75,110831,264366,150.7,189577673.5,819782.0,822698190.3,164.8,149.1,80.9,95.3
2013-04-01,302721.73,109310,210047,154.6,187935949.0,814791.0,819629842.5,156.5,145.7,71.7,93.3
2013-05-01,313667.83,114273,239858,206.2,190274135.9,818474.0,826024623.3,168.0,157.6,85.1,99.9
2013-06-01,313922.63,113434,219148,266.3,190143600.7,809138.0,831752062.7,160.6,176.1,100.6,95.0
2013-07-01,304573.90,114992,213293,238.3,192995333.1,821244.0,834597171.8,168.6,175.6,112.4,98.9
