DATA,CFCT,NC-R,NC-I,NC-C,PT-TOT,PNT-TOT,TEMP-MAX,I-PLUV,IPAGRO,Q-BF,MR-PS,IMR-TOT,I-AEC,PFI-IG,IV-CVA
2005-01-01,,1124905,3882,112128,,65970.5016525,27.7890978353153,,,,,,,,
2005-02-01,,1128942,3875,112249,,48469.4826475,27.6452572045699,,,,,,,,
2005-03-01,,1128530,3861,111493,,71048.487972,27.2951207941314,,,,,,,,
2005-04-01,,1133597,3837,111722,,61891.5009615,27.581962289305,,,,,,,,
2005-05-01,,1136498,3835,111295,,70195.3085974999,27.4599211765086,,,,,,,,
2005-06-01,,1140753,3811,112256,,67981.596446525,27.8790268649198,,,,,,,,
2005-07-01,,1144632,3811,113279,,69049.0725392501,27.9992343337221,,,,,,,,
2005-08-01,,1149980,3863,112848,,82153.981106,28.4825091024274,,,,,,,,
2005-09-01,,1156445,3873,113140,,71734.162886,28.29309179227,,,,,,,,
2005-10-01,,1156999,3866,113038,,85584.6881913499,28.5231936303246,,,,,,,,
2005-11-01,,1156319,3888,113647,,79873.3096309251,28.5006064416444,,,,,,,,
2005-12-01,,1160065,3882,113565,,74591.6022174501,27.7102886524135,,,,,,,,
2006-01-01,,1167043,3884,113608,,87296.8259477,27.6243019906226,,,,,,,,
2006-02-01,,1173237,3833,114251,,58472.404839725,27.198028058776,,,,,,,,
2006-03-01,,1176421,3862,114254,,94985.537550275,27.0835022474434,,,,,,,,
2006-04-01,,1180704,3807,114663,,67997.854712,26.8290191008817,,,,,,,,
2006-05-01,,1185491,3831,115441,,97875.16182185,27.0426909811439,,,,,,,,
2006-06-01,,1188634,3826,115849,,82536.6923037,27.2377688423402,,,,,,,,
2006-07-01,,1192222,3850,116365,,95524.840885025,27.6436863617984,,,,,,,,
2006-08-01,,1196025,3878,116587,,112631.2032228,27.9845698112873,,,,,,,,
2006-09-01,,1201052,3915,116688,,88061.9865525001,28.3283853671893,,,,,,,,
2006-10-01,,1207042,3943,117321,,108748.528100998,28.2248001241812,,,,,,,,
2006-11-01,,1211036,3963,118242,,85867.6007659999,27.9244692390432,,,,,,,,
2006-12-01,,1215023,3971,118430,,110121.9486005,27.7647164680794,,,,,,,,
2007-01-01,,1219223,3987,118661,,115812.7955755,28.1833589642868,,,,,,,,
2007-02-01,,1221510,3969,118610,,49735.073323,26.6233165017276,,,,,,,,
2007-03-01,,1226555,3957,118493,,122130.0845805,26.9747854984331,,,,,,,,
2007-04-01,,1228348,3930,118971,,86163.262406,27.2314936759096,,,,,,,,
2007-05-01,,1230016,3893,119306,,124931.94416,27.7419747032073,,,,,,,,
2007-06-01,,1231970,3923,120398,,87432.2970965001,27.3397239710465,,,,,,,,
2007-07-01,,1238062,3951,121186,,110474.9436075,27.6123258763779,,,,,,,,
2007-08-01,,1247164,3996,121681,,121292.663178794,27.7392921413377,,,,,,,,
2007-09-01,,1254197,3999,121994,,97235.956503,27.9896432506325,,,,,,,,
2007-10-01,,1260688,4035,123506,,114122.8598485,27.6793753860522,,,,,,,,
2007-11-01,,1266589,4075,125489,,97943.7449575001,27.965415783732,,,,,,,,
2007-12-01,,1270590,4037,126335,,105793.734357254,27.2074694912443,,,,,,,,
2008-01-01,,1271520,4028,126495,,102741.741370791,26.6730603590181,,,,,,,,
2008-02-01,,1284072,4028,127270,,86876.8138600001,26.9137939152854,,,,,,,,
2008-03-01,,1290445,4019,127442,,113160.70614532,26.4835343659535,,,,,,,,
2008-04-01,,1296565,3982,128296,,104831.10880494,26.8765423698041,,,,,,,,
2008-05-01,,1302394,4009,129139,,124142.69169124,27.0955564370564,,,,,,,,
2008-06-01,,1290329,3934,127774,,102107.762540775,27.146562206638,,,,,,,,
2008-07-01,,1286972,3887,127706,,115899.749146215,27.5548456336119,,,,,,,,
2008-08-01,,1289250,3919,127327,,139177.22445784,28.2301527539798,,,,,,,,
2008-09-01,,1290288,3927,127231,,101275.253752775,28.4224502062969,,,,,,,,
2008-10-01,,1295890,3929,127267,,120863.538288885,28.3045099355523,,,,,,,,
2008-11-01,,1299944,3911,127546,,122657.761987575,28.3829740814809,,,,,,,,
2008-12-01,,1303789,3903,127544,,125687.66614156,27.9572417588558,,,,,,,,
2009-01-01,,1306268,3870,127272,,118847.421565814,27.5604197583448,,,,,,,,
2009-02-01,,1315920,3864,127562,,85546.56519,26.7965944958092,,,,,,,,
2009-03-01,,1322599,3834,127776,,144304.990280775,26.9092736425522,,,,,,,,
2009-04-01,,1329112,3809,128298,,124698.60939715,26.8096404494178,,,,,,,,
2009-05-01,,1334600,3807,128753,,156860.84015451,26.826750716071,,,,,,,,
2009-06-01,,1343143,3808,129579,,128409.4100399,27.4643103535858,,,,,,,,
2009-07-01,,1349523,3826,130424,,136127.56246894,27.778303425009,,,,,,,,
2009-08-01,,1356719,3826,130427,,167449.37864628,28.2989966381496,,,,,,,,
2009-09-01,,1363769,3798,130864,,143480.2326553,28.5043490848745,,,,,,,,
2009-10-01,,1370522,3825,131208,,169898.641094775,28.3563002709977,,,,,,,,
2009-11-01,,1377953,3824,131717,,150537.424009115,28.4661637751106,,,,,,,,
2009-12-01,,1385198,3778,131968,,144022.30488404,27.9970617869188,,,,,,,,
2010-01-01,,1388238,3814,131707,,162986.50916015,27.3544085059144,,,,,,,,
2010-02-01,,1392446,3781,132029,,128326.8634087,27.7504714927604,,,,,,,,
2010-03-01,,1400399,3759,132048,,169363.697847665,28.3223280960934,,,,,,,,
2010-04-01,,1410594,3762,132947,,130507.94324825,27.6649538671627,,,,,,,,
2010-05-01,,1419310,3725,133583,,179785.10890962,28.3192264721318,,,,,,,,
2010-06-01,,1429481,3769,134517,,124926.24475387,28.0577021739168,,,,,,,,
2010-07-01,,1438304,3760,134564,,151637.808985735,28.2086270661181,,,,,,,,
2010-08-01,,1446444,3763,134706,,179404.329782425,28.4254622373085,,,,,,,,
2010-09-01,,1453109,3796,135062,,157924.69235017,28.9090970584361,,,,,,,,
2010-10-01,,1460751,3783,135544,,173519.68275873,28.5855778674433,,,,,,,,
2010-11-01,,1468084,3813,136134,,160935.32914884,28.494661117407,,,,,,,,
2010-12-01,,1474592,3801,136266,,160684.047542565,27.953802694718,,,,,,,,
2011-01-01,,1481937,3783,136253,,150783.16725685,26.8755141269216,,,,,,,,
2011-02-01,,1488615,3797,136432,,135646.42084574,26.7912625853609,,,,,,,,
2011-03-01,,1502513,3803,137150,,166012.94282847,27.0237062721073,,,,,,,,
2011-04-01,,1511408,3746,138066,,157725.893617355,27.098535831446,,,,,,,,
2011-05-01,,1520731,3740,139446,,186955.08334981,28.1223508170548,,,,,,,,
2011-06-01,,1533208,3761,140314,,138608.179401305,27.879830557621,,,,,,,,
2011-07-01,,1540185,3756,140503,,158641.08129626,27.8056423398287,,,,,,,,
2011-08-01,,1534183,3728,138758,,175943.319446704,28.4465388889971,,,,,,,,
2011-09-01,,1519352,3714,136639,,163470.774228064,28.9122945622057,,,,,,,,
2011-10-01,,1512775,3702,135485,,183390.095354352,28.2644212001944,,,,,,,,
2011-11-01,,1542677,3747,139173,,172550.57564992,27.9098227568644,,,,,,,,
2011-12-01,,1550378,3676,139512,,178712.948365984,27.6756076010627,,,,,,,,
2012-01-01,,1556509,3756,139520,,168118.165706976,26.7981743595713,,,,,,,,
2012-02-01,,1557211,3711,139053,,153383.198049664,26.3086011928248,,,,,,,,
2012-03-01,,1550654,3694,137676,,176475.338023248,26.9245733125207,,,,,,,,
2012-04-01,,1548919,3621,137383,,177627.199806848,27.6169627136408,,,,,,,,
2012-05-01,,1548309,3633,137266,,199574.385059184,27.2118268622196,,,,,,,,
2012-06-01,,1554415,3633,137927,,176940.865548208,27.2140653200941,,,,,,,,
2012-07-01,,1564720,3666,139332,,204000.15839224,27.384829465219,,,,,,,,
2012-08-01,,1630536,3808,146032,,218611.020403568,27.9503068942536,,,,,,,,
2012-09-01,,1634207,3783,146412,,202938.828566864,28.1656439895126,,,,,,,,
2012-10-01,,1638540,3813,146577,,241155.56863968,28.371130832438,,,,,,,,
2012-11-01,,1641874,3801,146966,,218800.445240112,28.2217858168974,,,,,,,,
2012-12-01,,1644050,3786,146685,,225367.28424,27.8210269913174,,,,,,,,
2013-01-01,,1650994,3798,147498,,220682.13418608,27.6157240069359,,,,,,,,
2013-02-01,,1656316,3808,147928,,153381.5508416,27.38326433656,,,,,,,,
2013-03-01,,1659983,3807,147963,,264366.156489936,27.3827373926267,,,,,,,,
2013-04-01,,1664662,3835,148938,,210046.99682088,27.2871629942266,,,,,,,,
2013-05-01,,1668468,3844,149470,,239858.040384592,27.1874235679541,,,,,,,,
2013-06-01,,1671820,3856,149851,,219147.512279984,27.2963427987346,,,,,,,,
2013-07-01,,1677567,3865,150875,,213292.62304136,26.9250472081035,,,,,,,,
2013-08-01,,1685819,3884,150888,,249053.461913488,27.7749925087069,,,,,,,,
2013-09-01,,1692961,3918,151333,,236704.1544236,27.8600686879478,,,,,,,,
2013-10-01,,1702386,3931,151650,,240541.420439632,28.034581047535,,,,,,,,
2013-11-01,,1716648,3938,152368,,210023.368768032,27.6318135674325,,,,,,,,
